,eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
145,370.42,21.805,1081.5,0.0152153285,0.18836467,2.1811382999999998,-0.015765486500000002,0.15236679,0.9274815507233143,146.0,37376.0,2220.8051672049914,2392064
146,367.82500000000005,21.665,1081.5,0.0169264485,0.19714355499999997,2.1742165,-0.014038160000000001,0.285828815,0.8814130686223507,147.0,37632.0,2235.9490146444878,2408448
147,365.63,22.41,1080.0,0.0140581715,0.16607665500000002,2.1675525999999996,-0.012338418,0.232607845,0.9151062145829201,148.0,37888.0,2251.114384686487,2424832
148,366.565,22.515,1081.5,0.013489012000000002,0.163848875,2.1664289,-0.014180875499999999,0.24590192,0.8901143819093704,149.0,38144.0,2266.261031602975,2441216
149,374.03,22.744999999999997,1081.5,0.0175508085,0.2059021,2.15228425,-0.012520754,0.21273908000000002,0.9076201356947422,150.0,38400.0,2281.402404657507,2457600
150,372.65999999999997,22.93,1079.5,0.0149011865,0.17668661,2.1637764,-0.0117552335,0.23256582,0.8878669142723083,151.0,38656.0,2296.5751880214957,2473984
151,370.16499999999996,23.415,1080.5,0.013302874,0.15905762,2.1675200500000003,-0.015460816,0.193856695,0.9002297185361385,152.0,38912.0,2311.7352398124644,2490368
152,372.155,23.119999999999997,1080.5,0.017315481,0.19495647,2.1560671499999997,-0.0141169165,0.226853825,0.8870055377483368,153.0,39168.0,2326.887872120482,2506752
153,373.8,22.57,1080.5,0.0177800715,0.198272705,2.1598756999999997,-0.015365735500000002,0.18991092,0.8942348882555962,154.0,39424.0,2342.0433357479633,2523136
154,368.83,22.130000000000003,1077.5,0.020640083,0.22662354,2.1769575999999997,-0.010578539000000001,0.299781965,0.8628421872854233,155.0,39680.0,2357.240722073475,2539520
155,366.09000000000003,22.415,1079.0,0.015012453,0.19054158999999998,2.17351945,-0.0149440955,0.11677408,0.9330866765230894,156.0,39936.0,2372.4243098809966,2555904
