eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps,eplenmean,eprewmean
217.36,9.14,2181,0.011554957,0.1529541,2.2579472,-0.015227765,0.15860434,0.929594673,64,16384,474.4037984,1048576,217.36,9.14
173.38,6.56,2138,0.012345527,0.15165202,2.2794518,-0.016874285,0.110050045,0.92273619,65,16640,482.0660225,1064960,173.38,6.56
186.96,6.9,2190,0.014683914,0.17352295,2.2500732,-0.01772751,0.14148314,0.93028219,66,16896,489.5474893,1081344,186.96,6.9
182.69,6.43,2236,0.013499719,0.15968831,2.2879333,-0.014143594,0.19945134,0.895336688,67,17152,496.8754273,1097728,182.69,6.43
169.8,6.22,2281,0.014021515,0.17348225,2.2978766,-0.017720412,0.14278759,0.921988763,68,17408,504.0588748,1114112,169.8,6.22
188.05,5.87,2261,0.013759469,0.1560669,2.2455294,-0.015510575,0.16031837,0.919908985,69,17664,511.3035041,1130496,188.05,5.87
216.14,8.75,2213,0.011489521,0.14211018,2.2238777,-0.016072957,0.13068855,0.945852015,70,17920,518.7073612,1146880,216.14,8.75
208.01,8.23,2220,0.014017708,0.17201741,2.2379813,-0.01662582,0.1778514,0.924563117,71,18176,526.0862943,1163264,208.01,8.23
203.84,8.56,2256,0.012871061,0.1630249,2.247812,-0.01679829,0.12213247,0.947454363,72,18432,533.3490653,1179648,203.84,8.56
218.83,9.4,2152,0.013441482,0.16245525,2.2152464,-0.013447002,0.17552072,0.93956114,73,18688,540.9629991,1196032,218.83,9.4
181.1,6.54,2142,0.016202591,0.18184407,2.2428007,-0.02220685,0.103879064,0.956012756,74,18944,548.6122815,1212416,181.1,6.54
198.03,8.17,2196,0.01375815,0.1762085,2.219457,-0.015682636,0.1518218,0.944863014,75,19200,556.0722781,1228800,198.03,8.17
235.61,9.7,2192,0.013166699,0.17010498,2.1798096,-0.016280083,0.19531323,0.930300981,76,19456,563.5449738,1245184,235.61,9.7
229.45,10.89,2188,0.014537963,0.17572021,2.175723,-0.014464165,0.19301195,0.949144606,77,19712,571.0310551,1261568,229.45,10.89
194.33,7.41,2206,0.014569707,0.17714436,2.2148724,-0.018773114,0.16746642,0.916389413,78,19968,578.4580771,1277952,194.33,7.41
205.45,8.35,2264,0.013147474,0.15946452,2.162756,-0.010785575,0.22247845,0.932585545,79,20224,585.6945392,1294336,205.45,8.35
190.96,7.52,2233,0.009864538,0.12719727,2.1623778,-0.01640953,0.15085931,0.945549082,80,20480,593.02963,1310720,190.96,7.52
243.48,11.15,2226,0.014341552,0.17091878,2.1413743,-0.014527018,0.22987626,0.928568274,81,20736,600.3907213,1327104,243.48,11.15
209.98,8.89,2192,0.015485995,0.18955486,2.1508684,-0.018196994,0.17271368,0.933600977,82,20992,607.8650416,1343488,209.98,8.89
229.52,9.89,2267,0.012318616,0.14632161,2.1073399,-0.014245304,0.18119459,0.95443413,83,21248,615.0919263,1359872,229.52,9.89
238.03,11.2,2267,0.012131255,0.14587402,2.1443195,-0.017743928,0.1659471,0.941271815,84,21504,622.3184267,1376256,238.03,11.2
222.47,10.69,2212,0.01747997,0.18990071,2.1461728,-0.015396955,0.21600436,0.929480851,85,21760,629.7245364,1392640,222.47,10.69
227.36,9.92,2210,0.01205169,0.15675862,2.1093013,-0.01603493,0.17329086,0.952832602,86,22016,637.1363615,1409024,227.36,9.92
259.07,13.02,2255,0.009933257,0.12552898,2.110442,-0.013545688,0.18888277,0.955764078,87,22272,644.4018368,1425408,259.07,13.02
252.51,12.1,2217,0.010761065,0.13252766,2.1029909,-0.009643819,0.31325993,0.936270744,88,22528,651.7901918,1441792,252.51,12.1
242.95,12.45,2177,0.010006164,0.12770589,2.0924075,-0.014980093,0.19076031,0.961692367,89,22784,659.3170942,1458176,242.95,12.45
247.88,12.14,2258,0.014295909,0.17763264,2.1095889,-0.017556839,0.2182431,0.946267791,90,23040,666.5719645,1474560,247.88,12.14
271.33,13.84,2289,0.013183694,0.16107178,2.0700526,-0.015031545,0.18367475,0.962509438,91,23296,673.7284024,1490944,271.33,13.84
262.04,12.95,2250,0.014590725,0.17584229,2.025882,-0.01472352,0.2223826,0.958710365,92,23552,681.0083792,1507328,262.04,12.95
260.33,12.59,2219,0.012136866,0.15586345,2.0717275,-0.01626596,0.14992063,0.964128837,93,23808,688.3917909,1523712,260.33,12.59
286.39,13.98,2180,0.013324581,0.15899658,2.0575929,-0.012351878,0.275269,0.942219675,94,24064,695.9080532,1540096,286.39,13.98
294.01,14.32,2246,0.013312274,0.16845703,2.0565567,-0.009490394,0.25839236,0.959955547,95,24320,703.2030204,1556480,294.01,14.32
252.41,11.97,2236,0.014895429,0.17671712,2.0800154,-0.016572526,0.23479755,0.942369543,96,24576,710.5317339,1572864,252.41,11.97
255.66,12.08,2263,0.015500613,0.1940918,2.080963,-0.017261732,0.2147664,0.943322185,97,24832,717.7716457,1589248,255.66,12.08
231.33,10.36,2238,0.012556543,0.16544597,2.088783,-0.015262865,0.23578025,0.946704645,98,25088,725.0917541,1605632,231.33,10.36
244.82,12.81,2247,0.014206664,0.16927083,2.1031334,-0.01851883,0.25217798,0.946583662,99,25344,732.3812537,1622016,244.82,12.81
242.42,10.9,2193,0.011739783,0.14829509,2.072599,-0.01760746,0.19561929,0.949477486,100,25600,739.8506109,1638400,242.42,10.9
254.79,11.91,2106,0.013430255,0.16337077,2.0213435,-0.015227868,0.25629044,0.941978697,101,25856,747.6278263,1654784,254.79,11.91
264.69,13.65,2246,0.011292219,0.14320882,2.018424,-0.014887287,0.20257749,0.960219726,102,26112,754.9221066,1671168,264.69,13.65
279.18,14.83,2241,0.017904414,0.20817058,2.0553076,-0.02035245,0.1475807,0.962918479,103,26368,762.2322079,1687552,279.18,14.83
288.61,14.15,2238,0.012966566,0.15920003,2.0548909,-0.014527715,0.28687003,0.94248068,104,26624,769.5522818,1703936,288.61,14.15
271.75,12.72,2178,0.013624246,0.1706543,2.010557,-0.017924532,0.22546,0.951486871,105,26880,777.0735035,1720320,271.75,12.72
274.25,13.87,2245,0.01456643,0.1784668,2.0374606,-0.017553324,0.20924996,0.958550714,106,27136,784.3698253,1736704,274.25,13.87
261.67,11.59,2236,0.011257955,0.14573161,2.0143898,-0.011160497,0.27262527,0.958438423,107,27392,791.6972756,1753088,261.67,11.59
266.39,12.58,2232,0.011347716,0.14331055,2.0634577,-0.01765545,0.20955819,0.955892023,108,27648,799.0364379,1769472,266.39,12.58
257.15,12.03,2270,0.013807036,0.17449951,2.056719,-0.015664263,0.22113986,0.956157029,109,27904,806.2545067,1785856,257.15,12.03
261.46,12.35,2224,0.015829198,0.19274902,2.0425105,-0.016858542,0.20821111,0.963437449,110,28160,813.6202986,1802240,261.46,12.35
266.83,12.4,2249,0.017777687,0.19763184,2.0514798,-0.016615782,0.22126108,0.957711171,111,28416,820.9034632,1818624,266.83,12.4
264.39,13.36,2256,0.011918146,0.15010579,2.0841563,-0.016257023,0.18034899,0.967106443,112,28672,828.165315,1835008,264.39,13.36
282.33,14.28,2182,0.012595396,0.15671794,2.0860627,-0.0167809,0.23413181,0.951550238,113,28928,835.6730118,1851392,282.33,14.28
289.4,15.2,2266,0.015801065,0.1932373,2.0956528,-0.01821973,0.14833851,0.966439497,114,29184,842.9036483,1867776,289.4,15.2
272.46,15.39,2226,0.014304507,0.17445882,2.1227763,-0.01775232,0.15934555,0.96607589,115,29440,850.2631193,1884160,272.46,15.39
288.64,15.87,2215,0.01588005,0.18145752,2.1157832,-0.01616789,0.22707741,0.948382623,116,29696,857.6586635,1900544,288.64,15.87
273.23,14.84,2248,0.012235098,0.15570068,2.1331408,-0.014066088,0.22284608,0.950757168,117,29952,864.9473138,1916928,273.23,14.84
271,13.22,2213,0.012690949,0.1509196,2.1281772,-0.013758622,0.24080531,0.947805695,118,30208,872.3511339,1933312,271,13.22
290.86,14.91,2225,0.011458454,0.1430664,2.169272,-0.01722118,0.16087534,0.967770576,119,30464,879.7157473,1949696,290.86,14.91
268.45,12.74,2232,0.012101498,0.14326985,2.164725,-0.015434523,0.2138564,0.956321623,120,30720,887.0571745,1966080,268.45,12.74
249.05,10.55,2204,0.018023321,0.20461018,2.1607692,-0.019028746,0.22942524,0.949930634,121,30976,894.4910612,1982464,249.05,10.55
